DATJOIN,Crab_behavior,Habitat,Cover,Start_time,Stop_time,Total_time_elapsed,Continued_from_previous_file,Notes
0909A15,1,3,0,1:43,2:19,0:36,,
0909A209,1,3,2,11:43,12:19,0:36,,
0909A309,1,3,0,3:30,4:06,0:36,,
0809G08,1,3,4,15:53,16:29,0:36,,
0809G14,1,3,0,4:17,4:53,0:36,,
0909A402,1,2,0,0:00,0:37,0:37,,
0803D02,1,0,0,0:00,0:37,0:37,,
0803M02,1,0,0,16:58,17:35,0:37,,
0803M04,1,0,0,2:40,3:17,0:37,,
0803M06,1,0,0,2:36,3:13,0:37,,
0909A04,1,3,0,1:50,2:28,0:38,,
0909A303,1,3,0,2:12,2:50,0:38,,
0803B08,1,3,0,11:34,12:12,0:38,,
0803B13,1,4,0,14:44,15:22,0:38,,
0804A04,1,3,0,9:04,9:42,0:38,,
0809G04,1,3,1,16:56,17:34,0:38,,
0909C01,1,3,0,16:04,16:42,0:38,,
0909A09,1,3,0,2:18,2:57,0:39,,
0909A209,1,3,2,12:55,13:34,0:39,,
0909A313,1,3,0,1:39,2:18,0:39,,
0809A02,1,2,0,4:22,5:01,0:39,,
0809B03,1,3,4,11:50,12:29,0:39,,
0909A210,1,3,0,1:10,1:50,0:40,,
0909A307,1,2,under halibut,9:00,9:40,0:40,halibut swims on top of crab!,
0803D12,1,0,0,12:29,13:09,0:40,,
0803M07,1,0,0,4:32,5:12,0:40,,
0804A07,1,3,0,11:36,12:16,0:40,,
0909A11,1,3,0,9:05,9:46,0:41,,
0804A04,1,3,0,7:00,7:41,0:41,,
0809G10,1,3,4,10:23,11:04,0:41,,
0909A402,1,4,0,3:24,4:06,0:42,,
0803B14,1,4,0,6:29,7:11,0:42,,
0803D08,1,0,0,4:25,5:07,0:42,,
0803M03,1,0,0,7:20,8:02,0:42,,
0803M04,1,0,0,1:23,2:05,0:42,,
0803M07,1,0,0,8:56,9:38,0:42,,
0909A05,1,3,0,4:40,5:23,0:43,,
0803D14,1,0,0,7:07,7:50,0:43,,
0803M07,1,0,0,7:37,8:20,0:43,,
0803M07,1,0,0,10:10,10:53,0:43,,
0803M11,1,0,0,10:46,11:29,0:43,,
0909A304,1,3,3,0:49,1:33,0:44,,
0803D07,1,0,0,6:50,7:34,0:44,,
0803M14,1,0,0,14:36,15:20,0:44,,
0809G06,1,3,0,14:50,15:34,0:44,,
0809G08,1,3,4,12:26,13:10,0:44,,
0803B15,1,3,0,14:28,15:13,0:45,,
0803D07,1,0,0,0:00,0:45,0:45,,
0803M04,1,0,0,14:33,15:18,0:45,,
0809A01,1,2,0,11:55,12:40,0:45,,
0909A312,1,3,0,4:40,5:26,0:46,hard to see back to cam,
0909A307,1,3,1,10:51,11:38,0:47,moves partially between rocks,
0803D01,1,0,0,9:12,9:59,0:47,,
0803M02,1,0,0,4:12,4:59,0:47,,
0804A05,1,3,1,0:00,0:47,0:47,partially obscured ,
0909A11,1,3,0,14:32,15:20,0:48,,
0803D10,1,0,0,11:04,11:52,0:48,,
0803D12,1,0,0,11:06,11:54,0:48,,
0803M08,1,0,0,2:58,3:46,0:48,,
0809G06,1,3,0,6:12,7:00,0:48,,
0803M14,1,0,0,11:02,11:51,0:49,,
0804A07,1,3,0,14:13,15:02,0:49,,
0909A01,1,0,0,0:00,0:50,0:50,0,
0803B12,1,3,0,0:00,0:50,0:50,,
0803M02,1,0,0,2:02,2:52,0:50,,
0909A05,1,3,0,12:49,13:40,0:51,,
0803D10,1,0,0,16:43,17:34,0:51,,
0809G12,1,3,0,0:00,0:51,0:51,,
0909A06,1,3,0,5:46,6:38,0:52,,
0909A11,1,3,0,4:15,5:07,0:52,,
0909A310,1,3,0,4:01,4:53,0:52,,
0909A312,1,3,0,16:41,17:33,0:52,,
0909A313,1,3,0,7:23,8:15,0:52,,
0803D05,1,0,0,7:44,8:36,0:52,,
0804A03,1,3,0,8:50,9:42,0:52,,
0804A04,1,3,0,13:13,14:05,0:52,,
0909A04,1,3,0,4:57,5:50,0:53,,"crab freezes due to hermit approach, does not move"
0909A207,1,4,0,11:32,12:25,0:53,,
0804A06,1,3,1,4:07,5:00,0:53,,
0803B11,1,3,0,5:28,6:22,0:54,,
0909A07,1,3,0,2:33,3:28,0:55,,
0909A201,1,3,0,3:48,4:43,0:55,on white rock. A bit hard to see behavior,
0909A301,1,3,0,3:35,4:30,0:55,,
0803D05,1,0,0,11:14,12:09,0:55,,
0803M09,1,0,0,10:06,11:01,0:55,,
0909A11,1,3,0,5:28,6:24,0:56,freezes as hermit approaches,
0909A215,1,3,2,2:46,3:42,0:56,crab comes partially into view,
0803D15,1,0,0,1:50,2:46,0:56,,
0809B10,1,3,4,0:00,0:56,0:56,,
0803D05,1,0,0,9:39,10:36,0:57,,
0803M08,1,0,0,7:12,8:09,0:57,,
0803M04,1,0,0,6:18,7:16,0:58,,
0809B05,1,3,4,14:40,15:38,0:58,,
0803D09,1,0,0,4:32,5:31,0:59,,
0803D13,1,0,0,0:00,0:59,0:59,,
0803M01,1,0,0,6:33,7:32,0:59,"could be eating, hard to tell",
0909A03,1,3,0,13:33,14:33,1:00,,
0909A07,1,3,0,8:57,9:57,1:00,,
0909A12,1,3,0,5:17,6:17,1:00,,
0803B03,1,3,0,6:15,7:15,1:00,"at about 7 mins sculpin attacks, can't see crab ",
0803D02,1,0,0,9:41,10:41,1:00,,
0803D10,1,0,0,9:57,10:57,1:00,,
0909A10,1,3,0,9:35,10:36,1:01,,
0909A15,1,3,0,0:00,1:01,1:01,,
0803D04,1,0,0,16:06,17:07,1:01,,
0803M02,1,0,0,6:30,7:31,1:01,,
0909A14,1,3,0,5:44,6:46,1:02,,
0909A209,1,3,0,14:55,15:57,1:02,"kelp leaf moving, can see crab every few seconds, appears to be stationary",
0803M16,1,0,0,0:00,1:02,1:02,,
0809B03,1,3,4,8:24,9:26,1:02,,
0909A01,1,0,0,3:39,4:42,1:03,0,
0803B15,1,4,0,0:00,1:03,1:03,,
0803D07,1,0,0,8:15,9:18,1:03,,
0809G10,1,3,0,16:31,17:34,1:03,,
0909A312,1,3,0,14:59,16:03,1:04,,
0909A06,1,3,0,0:41,1:46,1:05,,
0909A314,1,3,0,0:00,1:05,1:05,,
0803M07,1,0,0,15:52,16:57,1:05,,
0803M11,1,0,0,16:29,17:34,1:05,,
0803D05,1,0,0,6:12,7:18,1:06,,
0803M01,1,3,0,5:11,6:17,1:06,"appears to be still, low vis",
0809A02,1,2,0,8:43,9:49,1:06,diver returns…moves gopro,
0803B10,1,3,0,0:36,1:43,1:07,,
0803D06,1,0,0,13:01,14:08,1:07,,
0803D06,1,0,0,16:27,17:34,1:07,,
0809G02,1,3,0,6:04,7:12,1:08,,
0809G08,1,3,4,0:00,1:08,1:08,,
0909A12,1,3,0,3:41,4:50,1:09,,
0809G02,1,3,0,11:32,12:41,1:09,,
0803D06,1,0,0,8:40,9:50,1:10,,
0803D11,1,0,0,0:00,1:10,1:10,,
0804A01,1,3,0,10:12,11:22,1:10,,
0809G06,1,3,1,0:00,1:10,1:10,,
0803D06,1,0,0,0:54,2:05,1:11,,
0803D06,1,0,0,5:20,6:31,1:11,,
0909A315,1,3,0,12:41,13:53,1:12,,
0803D14,1,0,0,7:58,9:10,1:12,,
0909A08,1,3,0,14:57,16:10,1:13,,
0803B10,1,3,0,2:41,3:54,1:13,,
0809B06,1,3,4,4:07,5:20,1:13,,
0809B07,1,3,4,6:20,7:33,1:13,,
0809G13,1,3,0,0:00,1:13,1:13,,
0909A10,1,3,0,5:20,6:34,1:14,,
0803B01,1,3,1,1:36,2:50,1:14,"partially obscured by rock, could be eating, too small to see",
0803D01,1,0,0,10:19,11:33,1:14,,
0803M02,1,0,0,7:54,9:08,1:14,,
0803M10,1,0,0,11:58,13:12,1:14,,
0803D02,1,0,0,6:35,7:50,1:15,,
0803D12,1,0,0,2:52,4:07,1:15,,
0803M13,1,0,0,5:12,6:27,1:15,,
0803B12,1,3,0,6:04,7:20,1:16,,
0803D08,1,0,0,14:56,16:12,1:16,,
0803M08,1,0,0,5:03,6:19,1:16,,
0804A03,1,3,0,5:32,6:48,1:16,,
0803M16,1,0,0,4:18,5:35,1:17,,
0803B05,1,3,0,0:00,1:18,1:18,,
0803B07,1,3,0,12:26,13:44,1:18,,
0809B15,1,3,4,2:12,3:30,1:18,,
0909A308,1,3,0,13:55,15:14,1:19,,
0803M12,1,0,0,7:22,8:41,1:19,,
0809G02,1,3,0,2:01,3:20,1:19,,
0909A03,1,3,0,8:10,9:30,1:20,,
0803D08,1,0,0,10:51,12:11,1:20,"appears to be still, hard to see",
0803M12,1,0,0,1:40,3:00,1:20,,
0803B13,1,4,0,12:45,14:06,1:21,,
0803M03,1,0,0,0:00,1:21,1:21,,
0809B10,1,3,4,8:40,10:01,1:21,,
0809G15,1,3,0,3:42,5:03,1:21,,
0909A02,1,3,0,16:12,17:34,1:22,0,
0909A06,1,3,0,2:33,3:55,1:22,,
0909A402,1,3,0,8:55,10:17,1:22,,
0809A03,1,2,0,16:12,17:34,1:22,,
0803B01,1,3,0,4:34,5:57,1:23,,
0803M06,1,0,0,0:00,1:23,1:23,,
0809B11,1,3,4,5:19,6:42,1:23,,
0909A13,1,3,0,9:27,10:51,1:24,,
0909A13,1,3,0,15:23,16:47,1:24,,
0803D09,1,0,0,2:49,4:13,1:24,,
0803M07,1,0,0,1:08,2:32,1:24,,
0804A01,1,3,0,5:11,6:35,1:24,"could be eating, lots of debris, hard to see",
0809G01,1,3,0,4:37,6:01,1:24,,
0909A303,1,3,0,10:26,11:51,1:25,,
0803D01,1,0,0,2:26,3:51,1:25,,
0803D09,1,0,0,12:01,13:26,1:25,,
0803M12,1,0,0,5:12,6:37,1:25,,
0803M10,1,0,0,8:08,9:34,1:26,,
0803M16,1,0,0,14:40,16:07,1:27,,
0804A03,1,3,0,13:58,15:25,1:27,,
0909A10,1,3,0,6:52,8:20,1:28,defensive posture facing hermit,
0803B13,1,3,2,2:40,4:08,1:28,,
0909A06,1,3,0,7:23,8:52,1:29,,
0909A402,1,3,0,7:11,8:40,1:29,,
0803B12,1,3,0,4:21,5:50,1:29,,
0803D15,1,0,0,12:16,13:45,1:29,,
0804A03,1,3,0,11:01,12:30,1:29,,
0809G02,1,3,0,9:20,10:49,1:29,,
0909A315,1,3,0,8:01,9:31,1:30,,
0909A11,1,3,0,12:41,14:12,1:31,,
0909A316,1,3,0,2:56,4:27,1:31,,
0809B04,1,3,4,5:26,6:57,1:31,,
0909A215,1,4,2,5:22,6:54,1:32,,
0909A05,1,3,0,0:15,1:48,1:33,,
0909A14,1,3,0,1:17,2:50,1:33,,
0809B14,1,3,4,3:39,5:12,1:33,,
0803D14,1,0,0,0:00,1:34,1:34,,
0803D14,1,0,0,16:00,17:34,1:34,,
0803M03,1,0,0,5:17,6:51,1:34,,
0909A10,1,3,0,0:34,2:09,1:35,,
0909A13,1,3,0,7:29,9:05,1:36,,
0909A210,1,4,0,5:25,7:01,1:36,,
0803B01,1,3,0,0:00,1:36,1:36,"lots of debris moving throuh frame, hard to see",
0809G01,1,3,0,7:37,9:13,1:36,,
0803D08,1,0,0,1:31,3:08,1:37,,
0804A05,1,3,1,10:25,12:02,1:37,,
0809G15,1,3,0,5:36,7:13,1:37,,
0909A209,1,3,2,1:09,2:47,1:38,,
0803B07,1,3,0,10:37,12:16,1:39,hermit approaches,
0909A305,1,3,3,0:00,1:40,1:40,,
0803B12,1,3,1,9:01,10:42,1:41,,
0909A04,1,3,0,5:55,7:37,1:42,,
0909A306,1,2,0,0:00,1:42,1:42,,
0909A308,1,3,0,9:35,11:17,1:42,,
0803D07,1,0,0,4:40,6:22,1:42,,
0803M10,1,0,0,14:02,15:44,1:42,,
0809G02,1,3,0,0:00,1:43,1:43,,
0909A302,1,3,0,0:00,1:44,1:44,,
0803B04,1,3,0,0:19,2:04,1:45,,
0809A03,1,2,0,0:00,1:45,1:45,,
0909C02,1,3,0,7:05,8:50,1:45,partially obscured by kelp,
0809B02,1,3,4,13:19,15:05,1:46,,
0809B13,1,3,4,10:12,11:59,1:47,,
0809G09,1,3,4,15:31,17:18,1:47,,
0909A208,1,4,2,3:34,5:22,1:48,partially obscured ,
0804A04,1,3,0,0:00,1:48,1:48,"could be eating, back to camera",
0804A04,1,3,1,15:45,17:34,1:49,,
0909A201,1,3,0,1:35,3:25,1:50,,
0809A04,1,2,0,9:50,11:40,1:50,,
0803B15,1,4,0,5:32,7:23,1:51,,
0803M12,1,0,0,10:30,12:21,1:51,,
0909A11,1,3,0,15:40,17:32,1:52,,
0803D06,1,0,0,2:38,4:30,1:52,,
0803D15,1,0,0,3:15,5:07,1:52,,
0803D05,1,0,0,12:23,14:16,1:53,,
0809B14,1,3,4,0:00,1:53,1:53,,
0909C02,1,3,0,5:05,6:58,1:53,,
0803M14,1,0,0,15:40,17:34,1:54,,
0803B02,1,3,0,15:34,17:29,1:55,,
0909A304,1,2,0,11:37,13:33,1:56,,
0803M12,1,0,0,15:38,17:34,1:56,,
0809B07,1,3,4,11:05,13:02,1:57,,
0909A504,1,4,0,6:02,8:01,1:59,,
0803D01,1,0,0,0:00,1:59,1:59,,
0803F01,1,0,0,10:06,12:07,2:01,,
0803D10,1,0,0,14:21,16:23,2:02,,
0803D12,1,0,0,8:05,10:07,2:02,,
0809A01,1,2,0,14:58,17:00,2:02,,
0909A10,1,3,0,11:08,13:11,2:03,,
0803B12,1,3,2,15:30,17:34,2:04,,
0809B10,1,3,4,13:11,15:15,2:04,,
0909A03,1,3,0,11:14,13:19,2:05,,"stationary? Could also be eating, hard to see from camera angle"
0803M02,1,0,0,14:01,16:06,2:05,,
0909A16,1,3,0,6:08,8:14,2:06,,
0809B12,1,3,4,8:12,10:19,2:07,,
0804D03,1,0,0,3:11,5:19,2:08,,
0803M05,1,0,0,5:20,7:29,2:09,,
0803M14,1,0,0,7:49,9:58,2:09,,
0803B02,1,3,0,7:10,9:20,2:10,,
0803B14,1,4,2,3:59,6:10,2:11,,
0909A304,1,3,3,3:49,6:01,2:12,,
0803M02,1,0,0,11:34,13:46,2:12,,
0909A11,1,3,0,10:03,12:16,2:13,,
0803M06,1,0,0,10:59,13:12,2:13,snail drags through the tether pulling crab ,
0809G10,1,3,4,12:01,14:14,2:13,,
0809B01,1,2,0,0:00,2:14,2:14,,
0909A320,1,3,0,10:50,13:05,2:15,,
0909A504,1,4,0,2:01,4:17,2:16,,
0803D11,1,0,0,2:03,4:19,2:16,,
0809B11,1,3,4,0:00,2:17,2:17,,
0803D01,1,0,0,11:55,14:13,2:18,"large sediment wave, hard to see crabs activity, appears to be still",
0803D07,1,0,0,13:18,15:36,2:18,,
0909A08,1,3,0,12:25,14:45,2:20,interaction with hermit crab ,
0809B08,1,3,4,6:22,8:42,2:20,crab disappears from view…,
0809B08,1,3,4,13:46,16:07,2:21,,
0909A207,1,4,0,5:03,7:25,2:22,,
0909A15,1,3,0,8:12,10:35,2:23,,
0909A301,1,3,0,0:57,3:22,2:25,,
0803B13,1,3,2,0:00,2:26,2:26,,
0804A06,1,3,1,6:14,8:40,2:26,,
0809G13,1,3,0,1:33,3:59,2:26,,
0909A09,1,3,0,11:13,13:40,2:27,,
0909A207,1,4,0,1:45,4:12,2:27,,
0803M11,1,0,0,5:14,7:43,2:29,,
0909A03,1,3,0,2:38,5:08,2:30,,response to predator?
0803B10,1,3,0,6:27,8:58,2:31,,
0809G01,1,3,0,0:00,2:31,2:31,,
0909A209,1,3,2,3:07,5:39,2:32,,
0909A210,1,4,2,10:48,13:20,2:32,"can partially see crab, looks stationary",
0809B13,1,3,4,0:00,2:32,2:32,,
0809A05,1,2,0,0:00,2:33,2:33,,
0809A08,1,2,0,11:01,13:34,2:33,,
0804A05,1,3,1,15:00,17:34,2:34,,
0809A08,1,2,0,5:20,7:55,2:35,,
0803D04,1,0,0,0:00,2:36,2:36,,
0804D02,1,0,0,5:48,8:26,2:38,,
0909A05,1,3,0,6:40,9:19,2:39,,
0909A322,1,3,0,13:40,16:19,2:39,,
0809G12,1,3,0,2:04,4:43,2:39,,
0809A02,1,2,0,14:54,17:34,2:40,,
0909C02,1,3,0,0:00,2:42,2:42,,
0909A16,1,3,0,8:49,11:32,2:43,,
0809B07,1,3,4,14:50,17:34,2:44,,
0809G08,1,3,4,2:29,5:14,2:45,,
0803M16,1,0,0,9:00,11:46,2:46,,
0809A09,1,2,3,0:00,2:46,2:46,"hard to see, blends in with white",
0909A403,1,3,0,0:44,3:32,2:48,,
0803B03,1,3,0,0:32,3:20,2:48,,
0803F01,1,0,0,0:00,2:48,2:48,,
0809B05,1,3,4,7:16,10:06,2:50,,
0803M15,1,0,0,0:50,3:41,2:51,,
0809B08,1,3,4,0:00,2:52,2:52,,
0909A08,1,3,0,7:57,10:53,2:56,,
0803M03,1,0,0,9:50,12:46,2:56,,
0804D03,1,0,4,0:00,2:56,2:56,,
0809G15,1,3,0,11:56,14:52,2:56,,
0809B07,1,3,4,0:00,2:57,2:57,,
0803B09,1,3,0,0:00,2:58,2:58,,
0809G13,1,3,0,11:20,14:18,2:58,,
0909A304,1,3,0,6:42,9:41,2:59,,
0804D02,1,4,2,0:30,3:31,3:01,,
0809G01,1,3,0,14:33,17:34,3:01,,
0909A01,1,3,0,10:50,13:52,3:02,0,
0809A06,1,2,3,0:00,3:02,3:02,,
0909A315,1,3,0,14:30,17:33,3:03,"hard to see, back to camera might be eating",
0803D12,1,0,0,13:58,17:04,3:06,,
0809G09,1,3,4,12:22,15:28,3:06,,
0909A305,1,2,3,9:12,12:20,3:08,"moves on top of shell, hard to see",
0804A06,1,3,1,0:00,3:09,3:09,,
0809B09,1,3,4,6:02,9:12,3:10,,
0809B09,1,3,4,14:24,17:34,3:10,,
0809B16,1,3,4,7:06,10:20,3:14,,
0909A12,1,3,0,0:00,3:15,3:15,,
0809G02,1,3,0,14:20,17:35,3:15,,
0803B10,1,3,0,10:26,13:42,3:16,,
0804A05,1,3,1,4:21,7:37,3:16,hard to see crab under rock,
0804D01,1,4,0,10:30,13:48,3:18,,
0909A402,1,3,0,12:20,15:40,3:20,,
0804A01,1,3,0,0:00,3:20,3:20,,
0809B05,1,3,4,2:48,6:08,3:20,,
0809G11,1,3,0,1:42,5:02,3:20,,
0809B12,1,3,4,13:01,16:22,3:21,,
0809B12,1,3,4,0:47,4:11,3:24,,
0809G04,1,3,1,4:56,8:21,3:25,,
0809A04,1,2,0,5:11,8:37,3:26,,
0803M04,1,0,0,9:20,12:47,3:27,partially obscured ,
0909A08,1,3,0,0:00,3:28,3:28,,
0803D15,1,0,0,14:03,17:34,3:31,,
0804D02,1,0,0,9:12,12:43,3:31,,
0803B15,1,4,0,1:26,4:58,3:32,,
0803D03,1,0,0,7:48,11:20,3:32,hard to see ,
0909A13,1,3,0,11:02,14:35,3:33,,
0804D01,1,4,0,14:08,17:42,3:34,,
0803B07,1,3,0,13:59,17:34,3:35,,
0809B02,1,2,0,4:32,8:07,3:35,,
0803M09,1,0,0,5:51,9:31,3:40,,
0809B09,1,3,4,1:27,5:07,3:40,,
0909A04,1,3,0,8:16,11:59,3:43,,
0909A12,1,3,0,7:39,11:22,3:43,,
0909A209,1,3,2,5:57,9:40,3:43,,
0803B14,1,4,0,0:00,3:45,3:45,sitting on kelp getting moved by current ,
0909A04,1,3,0,12:53,16:39,3:46,,
0809A09,1,2,0,2:50,6:39,3:49,,
0803D02,1,0,0,13:44,17:34,3:50,,
0803M15,1,0,0,12:51,16:41,3:50,,
0809G09,1,3,4,3:49,7:40,3:51,,
0909A318,1,3,0,6:47,10:41,3:54,,
0803B12,1,3,2,10:50,14:46,3:56,,
0803D03,1,0,0,0:00,3:57,3:57,,
0909A305,1,2,0,13:33,17:33,4:00,a bit hard to see but appears to be stationary the whole time,
0803M01,1,3,0,0:00,4:00,4:00,crab placed at 3:00,
0803D08,1,0,0,6:30,10:31,4:01,,
0809G14,1,3,0,8:45,12:47,4:02,,
0803M14,1,0,0,2:12,6:16,4:04,,
0809B02,1,2,0,0:00,4:05,4:05,,
0804A01,1,3,0,12:06,16:12,4:06,,
0809B13,1,3,4,5:01,9:17,4:16,,
0809A07,1,2,0,9:28,13:47,4:19,,
0803B08,1,3,0,0:00,4:20,4:20,,
0803D11,1,0,0,6:53,11:13,4:20,,
0809A04,1,2,0,13:11,17:34,4:23,,
